ag_id,ag_name,citycode,feed_id,label,feed_name,relatedLink,official,feed_note,prefcode,prefname,catalog_name,feed_publisher,feed_service_begin_date,available_data,feed_page_url,license_name,license_url,feed_service_end_date,feed_LastUpdate,feed_start_date,feed_end_date,ver_status,feed_version_note,rt_id,rt_label,rt_catalog_name,rt_catalog_url,rt_status
a16007,砺波市,16208,f1600801,砺波市　砺波市営バス,【砺波市】砺波市営バスGTFS-JP,https://www.city.tonami.toyama.jp/info/1509418082.html,1,,16,富山県,富山県オープンデータポータルサイト,砺波市,20190110,1,http://opendata.pref.toyama.jp/dataset/city_tonami_gtfs,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210422,20210420,20220419,1,2021/4/1改正,r0027,砺波市営バス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16008,小矢部市,16209,f1600901,小矢部市　小矢部市営バス（メルバス・乗合タクシー）,小矢部市営バスGTFS-JPデータ,http://www.city.oyabe.toyama.jp/kurashi/dourokoutsu/bus/1458354859094.html,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,小矢部市オープンデータ,小矢部市,20190311,1,http://www.city.oyabe.toyama.jp/soshiki/soumubu/soumuka/opendata/1551664952101.html,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20200226,20200201,20210331,1,,r0028,小矢部市営バス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16009,富山県南砺市,16210,f1601001,南砺市　なんバス（南砺市営バス）,公共交通 南砺市営バス（なんバス）GTFSデータセット,https://www.city.nanto.toyama.jp/cms-sypher/www/info/detail.jsp?id=736,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,南砺市の統計情報・オープンデータ,南砺市地方創生推進課,20180530,1,https://www.city.nanto.toyama.jp/cms-sypher/www/secfolder/johoseisaku/tokei_top.htm,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210422,20210401,20220331,1,2021/4/1改正,r0029,南砺市営バス（なんバス）,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16010,富山県上市町,16322,f1601101,上市町　上市町営バス,上市町営バスGTFSｰJP,https://www.town.kamiichi.toyama.jp/guide/svGuideDtl.aspx?servno=19,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,上市町オープンデータカタログ,富山県上市町企画課,20190308,1,https://www.town.kamiichi.toyama.jp/guide/svGuideDtl.aspx?servno=3607,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210310,20210401,20220331,1,2021/4/1改正,r0030,上市町営バス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16011,富山県立山町,16323,f1601201,立山町　立山町営バス,立山町営バスGTFS-JP,https://www.town.tateyama.toyama.jp/bus/bus.html,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,立山町オープンデータサイト,富山県立山町,20190110,1,https://www.town.tateyama.toyama.jp/pub/guide/svGuideDtl.aspx?servno=6016,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210317,20210401,20220331,1,2021/4/1改正,r0031,立山町営バス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16012,富山県入善町,16342,f1601301,入善町　入善町営バス「のらんマイ・カー」,入善町営バスGTFS-JPデータ,https://www.town.nyuzen.toyama.jp/shoko/bus/20150629.html,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,入善町オープンデータ,富山県入善町,20190110,1,https://www.town.nyuzen.toyama.jp/gyosei/chosei/joho/2611.html,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210201,20180901,20210331,1,(URL変更),r0032,のらんマイ･カー,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16012,富山県入善町,16342,f1601302,入善町　入善新幹線ライナー,入善新幹線ライナーGTFS-JPデータ,http://nyuzentaxi.com/kankou.html,1,・2020/10/1～運休中につき更新休止;・富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,入善町オープンデータ,富山県入善町,20190110,1,https://www.town.nyuzen.toyama.jp/chose/johoseisaku/opendate.html,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,20200931,20190821,20190901,20200331,1,（2020/10/1運休中）,r0033,入善新幹線ライナー,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16013,朝日町役場,16343,f1601401,朝日町　あさひまちバス,あさひまちバスGTFS-JPデータ,https://www.town.asahi.toyama.jp/gyosei/gaiyo/kotsu/1450750198396.html,1,富山県オープンデータポータルサイトにリンク掲載あり,16,富山県,朝日町オープンデータ,朝日町役場　企画振興課,20181226,1,https://www.town.asahi.toyama.jp/soshiki/somu/opendata.html,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210310,20210315,20220314,1,2021/3/15改正,r0034,あさひまちバス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16014,富山地方鉄道株式会社,,f1601501,富山地鉄バス（富山地方鉄道）,【富山地方鉄道】富山地鉄バスGTFS-JP,https://www.chitetsu.co.jp,1,富山地鉄北斗バス含む,16,富山県,富山県オープンデータポータルサイト,富山地方鉄道株式会社,20190731,1,http://opendata.pref.toyama.jp/dataset/chitetsu_gtfs,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210326,20210401,20220331,1,2021/4/1改正,r0035,富山地鉄バス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16014,富山地方鉄道株式会社,,f1601502,富山地鉄バス　富山港線フィーダーバス,【富山地方鉄道】富山港線フィーダーバスGTFS-JP(ZIP),https://www.chitetsu.co.jp/?page_id=47335,1,富山ライトレールとの合併により富山地鉄運行に切り替え;富山地鉄一般路線データと統合（2021/3/26）,16,富山県,富山県オープンデータポータルサイト,富山地方鉄道株式会社,20200317,1,http://opendata.pref.toyama.jp/dataset/chitetsu_feeder_gtfs,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,20210325,20200317,20200131,20210331,1,,r0036,富山港線フィーダーバス,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
